а̀-ля́	а̀-л'а́
баси́ст	бас'и́ст
баска́ков	баска́каф
баскетбо́л	баск'идбо́л
баскетбо́льный	баск'идбо́л'ныj
баскетболи́ст	баск'идбал'и́ст
басносло́вно	баснасло́вна
бассе́йн	бас'э́jн
бастио́н	бас'т'ио́н
бастова́ть	бастава́т'
бата́т	бата́т
батальо́н	батал'jо́н
батаре́йка	батар'э́jка
батаре́йный	батар'э́jныj
батаре́я	батар'э́и
батиска́ф	бат'иска́ф
бато́н	бато́н
бато́нчик	бато́н'ч'ик
бату́т	бату́т
бахва́лов	бахва́лаф
бахи́лы	бах'и́лы
бахча́	бахч'а́
бачо́к	бач'о́к
башки́рский	башк'и́рск'иj
башма́к	башма́к
бая́н	баjа́н
баяни́ст	баин'и́ст
бди́тельно	бд'и́т'ил'на
